absolute_pdt,absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-17 01:01:40,2025-06-17 08:01:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 02:01:10,2025-06-17 09:01:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 02:36:30,2025-06-17 09:36:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 03:36:00,2025-06-17 10:36:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 04:11:20,2025-06-17 11:11:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 05:10:50,2025-06-17 12:10:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 05:46:10,2025-06-17 12:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 06:28:20,2025-06-17 13:28:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 06:32:40,2025-06-17 13:32:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 06:45:40,2025-06-17 13:45:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 07:21:00,2025-06-17 14:21:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 08:01:20,2025-06-17 15:01:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 08:09:50,2025-06-17 15:09:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 08:20:30,2025-06-17 15:20:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 08:55:50,2025-06-17 15:55:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 09:33:20,2025-06-17 16:33:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 09:46:10,2025-06-17 16:46:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 09:55:20,2025-06-17 16:55:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 10:30:40,2025-06-17 17:30:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 11:08:20,2025-06-17 18:08:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 11:20:10,2025-06-17 18:20:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 11:30:10,2025-06-17 18:30:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 12:05:30,2025-06-17 19:05:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 12:46:40,2025-06-17 19:46:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 12:49:40,2025-06-17 19:49:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 13:05:00,2025-06-17 20:05:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 13:40:20,2025-06-17 20:40:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 14:39:50,2025-06-17 21:39:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 15:15:10,2025-06-17 22:15:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 16:14:40,2025-06-17 23:14:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 16:50:10,2025-06-17 23:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 17:49:30,2025-06-18 00:49:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 18:25:00,2025-06-18 01:25:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 19:24:30,2025-06-18 02:24:30,True,0,PAYLOAD,IDLE,SCIENCE
