absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-16 11:21:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 12:20:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 12:56:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 13:38:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 13:42:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 13:55:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 14:31:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 15:11:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 15:19:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 15:30:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 16:05:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 16:43:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 16:56:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 17:05:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 17:40:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 18:18:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 18:30:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 18:40:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 19:15:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 19:56:40+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-16 19:59:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 20:15:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 20:50:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 21:49:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-16 22:25:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-16 23:24:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 00:00:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 00:59:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 01:35:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 02:34:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 03:09:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 04:03:50+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 04:04:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 04:09:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 04:44:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 05:44:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 06:19:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 07:19:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 07:54:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 08:53:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 09:29:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 10:28:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 11:04:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 12:03:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-17 12:38:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-17 13:21:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-17 13:24:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
